sequence,fake_file,FID
K01_A001_R01,K01_A001_R01_label_0.npy,9.224444128748049
K01_A001_R02,K01_A001_R02_label_0.npy,11.112297413330248
K01_A001_R03,K01_A001_R03_label_0.npy,9.018914736465996
K01_A001_R04,K01_A001_R04_label_0.npy,13.576559365223382
K01_A002_R01,K01_A002_R01_label_1.npy,23.20598170096032
K01_A002_R02,K01_A002_R02_label_1.npy,26.025924819559414
K01_A002_R03,K01_A002_R03_label_1.npy,36.00462292398441
K01_A002_R04,K01_A002_R04_label_1.npy,9.198311414240873
K01_A003_R01,K01_A003_R01_label_2.npy,23.428922184993326
K01_A003_R02,K01_A003_R02_label_2.npy,15.790132596933391
K01_A003_R03,K01_A003_R03_label_2.npy,6.952957572148831
K01_A003_R04,K01_A003_R04_label_2.npy,36.05044723638375
K01_A004_R01,K01_A004_R01_label_3.npy,2.9630975804773394
K01_A004_R02,K01_A004_R02_label_3.npy,9.350906146208445
K01_A004_R03,K01_A004_R03_label_3.npy,7.26413151160078
K01_A004_R04,K01_A004_R04_label_3.npy,5.636391359111368
K01_A005_R01,K01_A005_R01_label_4.npy,13.544586380373932
K01_A005_R02,K01_A005_R02_label_4.npy,5.710034894684989
K01_A005_R03,K01_A005_R03_label_4.npy,4.9849388877025875
K01_A005_R04,K01_A005_R04_label_4.npy,6.972107849632468
K01_A006_R01,K01_A006_R01_label_5.npy,5.428011943023088
K01_A006_R02,K01_A006_R02_label_5.npy,8.739066731647029
K01_A006_R03,K01_A006_R03_label_5.npy,7.492107153515345
K01_A006_R04,K01_A006_R04_label_5.npy,27.118076210523565
K01_A007_R01,K01_A007_R01_label_6.npy,5.0061147366851895
K01_A007_R02,K01_A007_R02_label_6.npy,4.088112577105683
K01_A007_R03,K01_A007_R03_label_6.npy,7.628420933831906
K01_A007_R04,K01_A007_R04_label_6.npy,6.542101000602001
K01_A008_R01,K01_A008_R01_label_7.npy,2.7204998307859407
K01_A008_R02,K01_A008_R02_label_7.npy,3.3993255639436217
K01_A008_R03,K01_A008_R03_label_7.npy,4.395942145645908
K01_A008_R04,K01_A008_R04_label_7.npy,1.7406153627068763
K01_A009_R01,K01_A009_R01_label_8.npy,10.000123991765347
K01_A009_R02,K01_A009_R02_label_8.npy,8.024730808754246
K01_A009_R03,K01_A009_R03_label_8.npy,9.1633071573706
K01_A009_R04,K01_A009_R04_label_8.npy,17.500373721859308
K01_A010_R01,K01_A010_R01_label_9.npy,25.730335156591075
K01_A010_R02,K01_A010_R02_label_9.npy,39.91839345420552
K01_A010_R03,K01_A010_R03_label_9.npy,22.465811760881735
K01_A010_R04,K01_A010_R04_label_9.npy,31.37570881404164
K01_A011_R01,K01_A011_R01_label_10.npy,1.9539279295227832
K01_A011_R02,K01_A011_R02_label_10.npy,3.1386538045640204
K01_A011_R03,K01_A011_R03_label_10.npy,2.5711148912999655
K01_A011_R04,K01_A011_R04_label_10.npy,3.8580066260742543
K01_A012_R01,K01_A012_R01_label_11.npy,56.15275903784305
K01_A012_R02,K01_A012_R02_label_11.npy,18.919465032162048
K01_A012_R03,K01_A012_R03_label_11.npy,11.351423369254425
K01_A012_R04,K01_A012_R04_label_11.npy,32.61587434581429
K01_A013_R01,K01_A013_R01_label_12.npy,6.111101958363821
K01_A013_R02,K01_A013_R02_label_12.npy,6.73713983394662
K01_A013_R03,K01_A013_R03_label_12.npy,5.998548618354139
K01_A013_R04,K01_A013_R04_label_12.npy,3.3008241376259257
K01_A014_R01,K01_A014_R01_label_13.npy,5.240447809654535
K01_A014_R02,K01_A014_R02_label_13.npy,4.338968278705702
K01_A014_R03,K01_A014_R03_label_13.npy,4.089625426198799
K01_A014_R04,K01_A014_R04_label_13.npy,2.3367375027202026
K01_A015_R01,K01_A015_R01_label_14.npy,14.1381731208024
K01_A015_R02,K01_A015_R02_label_14.npy,10.685487815022007
K01_A015_R03,K01_A015_R03_label_14.npy,9.958820347662535
K01_A015_R04,K01_A015_R04_label_14.npy,10.548448454091908
K02_A001_R01,K02_A001_R01_label_0.npy,6.981906739705329
K02_A001_R02,K02_A001_R02_label_0.npy,18.476914753035377
K02_A001_R03,K02_A001_R03_label_0.npy,18.03123282218974
K02_A001_R04,K02_A001_R04_label_0.npy,20.74917837652259
K02_A002_R01,K02_A002_R01_label_1.npy,20.388301818062487
K02_A002_R02,K02_A002_R02_label_1.npy,14.488631217658472
K02_A002_R03,K02_A002_R03_label_1.npy,11.240395863477506
K02_A002_R04,K02_A002_R04_label_1.npy,14.17351661670108
K02_A003_R01,K02_A003_R01_label_2.npy,58.49830392248413
